	epoch	CompititionVal Accuracy	CompititionTest Accuracy	Avg OOD Acc	Avg ID FLYP Loss
0	0	0.7162	0.7224	0.7193	1.5711
1	1	0.7114	0.7097	0.7106	1.238
2	2	0.6936	0.6932	0.6934	1.0955
3	3	0.7126	0.7064	0.7095	1.0852
4	4	0.7178	0.7111	0.7145	1.0449
5	5	0.7247	0.7123	0.7185	1.0548
6	6	0.7193	0.7083	0.7138	1.0082
7	7	0.724	0.7125	0.7183	1.0221
8	8	0.7256	0.7064	0.716	0.989
9	9	0.7268	0.7076	0.7172	0.8772
10	10	0.7284	0.7191	0.7238	0.9775
11	11	0.7339	0.7226	0.7283	0.9687
12	12	0.7367	0.7243	0.7305	0.9834
13	13	0.7397	0.7344	0.737	0.9598
14	14	0.739	0.7302	0.7346	0.9879
15	15	0.7388	0.73	0.7344	0.984
16	16	0.7412	0.7323	0.7368	0.9727
17	17	0.7426	0.7328	0.7377	0.9452
18	18	0.7419	0.7358	0.7389	0.9802
19	19	0.7402	0.7365	0.7384	0.8218
20	20	0.7419	0.7368	0.7393	0.9852
21	21	0.7423	0.7366	0.7394	0.9241
22	22	0.7423	0.7366	0.7394	0.9476
23	23	0.7421	0.7365	0.7393	0.9556
24	24	0.7421	0.7365	0.7393	0.9637
